Month of Date,Week of Date,Year of Date,Level,Date,Week Ending Date,Trips <1 Mile,People Not Staying at Home,Population Staying at Home,Trips,Trips 1-25 Miles,Trips 1-3 Miles,Trips 10-25 Miles,Trips 100-250 Miles,Trips 100+ Miles,Trips 25-100 Miles,Trips 25-50 Miles,Trips 250-500 Miles,Trips 3-5 Miles,Trips 5-10 Miles,Trips 50-100 Miles,Trips 500+ Miles
8,Week 32,2019,National,2019-08-04,2019-08-04,292959749,258404133,67763287,1322685497,934957837,346577279,200922270,8595827,15338786,79429125,59517188,2273613,171336406,216121882,19911937,4469346
8,Week 32,2019,National,2019-08-05,2019-08-05,317133861,262199758,63967662,1412564488,996863262,358008909,228809869,6535920,12563068,86004297,68184743,1941260,178996059,231048425,17819554,4085888
8,Week 32,2019,National,2019-08-06,2019-08-06,324443205,260096133,66071287,1437762102,1014614495,366533991,235621127,5993704,11104823,87599579,70149166,1741994,179210645,233248732,17450413,3369125
8,Week 32,2019,National,2019-08-07,2019-08-07,358483024,258878802,67288618,1543710309,1084498325,401474049,249988663,5379881,8528574,92200386,74381367,1272248,189163336,243872277,17819019,1876445
8,Week 32,2019,National,2019-08-08,2019-08-08,300765870,262410045,63757375,1382044815,984193010,347857770,226055368,6259735,12892348,84193587,66724543,1957888,179346163,230933709,17469044,4674725
8,Week 32,2019,National,2019-08-09,2019-08-09,341515854,272101417,54066003,1501571863,1052793819,378936486,245571995,7635743,12256537,95005653,74512584,1823661,186257669,242027669,20493069,2797133
8,Week 32,2019,National,2019-08-10,2019-08-10,346532975,267638064,58529356,1491503216,1040967509,386948113,230580285,7550100,12173176,91829556,70644329,1794030,186580557,236858554,21185227,2829046
